delta_frontal,delta_temporal,delta_parietal,delta_occipital,theta_frontal,theta_temporal,theta_parietal,theta_occipital,alpha_frontal,alpha_temporal,alpha_parietal,alpha_occipital,beta_frontal,beta_temporal,beta_parietal,beta_occipital,gamma_frontal,gamma_temporal,gamma_parietal,gamma_occipital
15.076818985821221,13.14391657457282,13.041500809446227,14.51221890806229,5.362842659601526,2.5869644845662316,3.2600395664807973,4.885585185212803,0.912455190099638,-2.322238919834537,-1.9890047721620883,0.6718994847053616,-3.0410567296122304,-7.069346379803065,-6.625544854429716,-3.648805966472055,-9.290188713784072,-12.706184398490173,-12.42084035982061,-11.448306561747962
7.984208073511829,12.388075226653497,9.472490954282861,10.179127047413658,2.3927431265847527,3.2695881269502696,3.4194215043627683,3.7502485738026614,1.6163744667413225,1.1600278366007757,3.2673326235336404,5.936004784230796,-3.304797825236994,-5.292544266480161,-3.792952514660807,-2.536450752143028,-10.020468196766142,-12.482489205293945,-11.772630689493049,-11.564416015566158
11.239702638586103,8.465388895693946,10.528402295227927,10.836221713346081,2.6593946111459945,0.3704929112428215,2.0083228470610566,3.089040834908671,-2.1854924675517635,-3.879034959729439,-3.2309215056083262,-0.143172740403328,-5.35495835428911,-6.251468515530846,-6.002988912498758,-2.92350109666489,-11.131412212267854,-11.450146759434856,-11.624944123133218,-9.015243441862875
4.745000124606143,4.652827554114452,5.134092569981921,7.363774419196643,-0.1738155172137052,-0.36566806802264074,-2.0794060601041497,1.3022766123681748,-3.315534148864711,-2.989607274616528,-5.012757793889961,0.27722185542946676,-5.882657995244871,-4.621960956674763,-7.396070323056148,-2.362242221425204,-11.521374874508357,-9.694670994304566,-12.043570700165613,-9.376422156443837
6.56394916408133,5.086260566113303,5.107025482007894,6.722253248323988,-1.4198349763912073,-2.3290132267266963,-1.127842243728335,-1.2343574707702998,-2.96015732825469,-1.689096242803415,-2.361830308957512,0.06934444828583186,-5.9208298461138416,-2.0847033885425814,-5.5069688280453395,-4.850824167793718,-12.390166951933374,-7.89771060922466,-13.358565539782813,-14.384892751502719
9.105437537421896,7.729108367676575,9.245041855277302,9.16696909419894,0.20988928028132015,-1.6408482716418253,-0.35559344890444755,-0.5386884173498783,-2.866510464022805,-5.344316952975589,-2.873485196314673,-0.7806446768763152,-6.66612869104991,-7.848192712120665,-6.825152689220143,-6.212502724515415,-12.6008166071497,-12.997016003848556,-13.446814493762446,-13.747683584757002
8.900696057589965,5.9729157977660545,6.561369279402873,5.544251390406767,-0.1539093248847701,-1.6522579279782974,-1.671633188466608,-1.230072748028439,2.295217873201006,3.0552456545600872,3.4183845016356784,7.012262236697252,-6.569968951752745,-3.8646893166462934,-6.712262464464974,-4.643356895126113,-13.043025046355753,-9.782081555618024,-13.742041937379636,-12.275227552489046
6.003338554872929,4.097141355663963,4.9367399973264625,6.308199878980323,-0.0767907949836363,-1.042577852659477,-0.08872417668896601,0.06123906047985739,3.7796965099847517,3.3384295011856544,7.975719022696003,8.84844871497414,-6.133783295103607,-2.6893055728538893,-4.107777852190845,-3.582231116564035,-12.89898467563824,-9.039561399840373,-12.079456520409325,-11.710880929402899
9.192188999590277,8.992609474639178,8.756006317709595,10.714356595794754,1.23214998780877,0.7769422024586532,1.1677900995435895,2.7731532160648293,-3.1102947567287043,-2.3350462131268532,-1.507006224829575,0.2961353288938157,-4.586284953534934,-2.9158349556500545,-4.0968663520572655,-2.720908918665353,-10.88843063529321,-8.802869057128895,-10.499598401223356,-9.906814478718648
10.641555296219899,11.49746449633281,12.529074380928236,13.069721474813944,2.588283085822966,3.390289324267933,4.2781354558393385,3.903502252178205,-1.9391226275156517,-0.25389383618003597,-0.848007453133222,0.826779269557357,-5.253193967302607,-1.2371709870198493,-3.241756913203625,-3.700631779901283,-12.230278132155453,-8.800053932833059,-10.883302655335296,-11.690458683313977
